ad_category,ad_revenue,currency,edition_id,quarter
"A001""""","22613.69""""","EUR""""","ED1005""""","2023-Q2"""""
"A002""""","39366.88""""","USD""""","ED1005""""","Q1-2019"""""
"A003""""","3709860.0""""","INR""""","ED1001""""","Q3-2023"""""
"A002""""","40969.55""""","USD""""","ED1003""""","Q3-2023"""""
"A003""""","51779.4""""","USD""""","ED1007""""","4th Qtr 2020"""""
"A001""""","4790190.0""""","INR""""","ED1001""""","2024-Q2"""""
"A003""""","4571581.0""""","INR""""","ED1001""""","2024-Q2"""""
"A002""""","2719829.0""""","INR""""","ED1003""""","Q1-2019"""""
"A002""""","3071973.0""""","INR""""","ED1005""""","2019-Q2"""""
"A001""""","1555116.0""""","INR""""","ED1006""""","Q3-2021"""""
"A002""""","4669088.0""""","INR""""","ED1010""""","4th Qtr 2023"""""
"A002""""","4955352.0""""","INR""""","ED1007""""","2020-Q2"""""
"A002""""","49883.14""""","EUR""""","ED1001""""","2022-Q2"""""
"A003""""","4450464.0""""","INR""""","ED1002""""","2021-Q2"""""
"A001""""","1034680.0""""","INR""""","ED1006""""","4th Qtr 2024"""""
"A003""""","1348728.0""""","INR""""","ED1005""""","2022-Q2"""""
"A004""""","1268118.0""""","INR""""","ED1002""""","Q1-2020"""""
"A004""""","2924089.0""""","INR""""","ED1009""""","2023-Q2"""""
"A002""""","2576243.0""""","INR""""","ED1004""""","Q3-2022"""""
"A002""""","27357.18""""","USD""""","ED1003""""","4th Qtr 2024"""""
"A004""""","4539802.0""""","INR""""","ED1007""""","Q1-2020"""""
"A003""""","3066125.0""""","INR""""","ED1006""""","Q3-2019"""""
"A002""""","4288952.0""""","INR""""","ED1001""""","4th Qtr 2021"""""
"A001""""","2750538.0""""","INR""""","ED1010""""","Q1-2022"""""
"A003""""","4542127.0""""","INR""""","ED1007""""","4th Qtr 2022"""""
"A001""""","2013545.0""""","INR""""","ED1005""""","4th Qtr 2021"""""
"A001""""","4448644.0""""","INR""""","ED1004""""","Q1-2022"""""
"A001""""","4048442.0""""","INR""""","ED1003""""","Q3-2024"""""
"A002""""","1924178.0""""","INR""""","ED1002""""","Q1-2023"""""
"A004""""","1020381.0""""","INR""""","ED1002""""","Q1-2024"""""
"A003""""","4644944.0""""","INR""""","ED1006""""","4th Qtr 2023"""""
"A004""""","4384750.0""""","IN RUPEES""""","ED1006""""","2019-Q2"""""
"A002""""","2445554.0""""","IN RUPEES""""","ED1005""""","Q1-2023"""""
"A004""""","4843897.0""""","INR""""","ED1006""""","2020-Q2"""""
"A004""""","3051940.0""""","INR""""","ED1008""""","Q3-2024"""""
"A001""""","2561869.0""""","INR""""","ED1009""""","Q1-2024"""""
"A001""""","2354447.0""""","INR""""","ED1010""""","Q3-2024"""""
"A001""""","1388920.0""""","INR""""","ED1008""""","2024-Q2"""""
"A002""""","16343.53""""","USD""""","ED1009""""","Q3-2019"""""
"A003""""","3348030.0""""","INR""""","ED1007""""","Q1-2024"""""
"A002""""","4107380.0""""","INR""""","ED1005""""","Q1-2020"""""
"A003""""","1245991.0""""","INR""""","ED1002""""","2024-Q2"""""
"A002""""","1295165.0""""","INR""""","ED1001""""","Q1-2023"""""
"A004""""","3119807.0""""","INR""""","ED1010""""","2024-Q2"""""
