edition_id,ad_category,quarter,ad_revenue,currency
"ED1005""""","A001""""","2023-Q2""""","22613.69""""","EUR"""""
"ED1005""""","A002""""","Q1-2019""""","39366.88""""","USD"""""
"ED1001""""","A003""""","Q3-2023""""","3709860.0""""","INR"""""
"ED1003""""","A002""""","Q3-2023""""","40969.55""""","USD"""""
"ED1007""""","A003""""","4th Qtr 2020""""","51779.4""""","USD"""""
"ED1001""""","A001""""","2024-Q2""""","4790190.0""""","INR"""""
"ED1001""""","A003""""","2024-Q2""""","4571581.0""""","INR"""""
"ED1003""""","A002""""","Q1-2019""""","2719829.0""""","INR"""""
"ED1005""""","A002""""","2019-Q2""""","3071973.0""""","INR"""""
"ED1006""""","A001""""","Q3-2021""""","1555116.0""""","INR"""""
"ED1010""""","A002""""","4th Qtr 2023""""","4669088.0""""","INR"""""
"ED1007""""","A002""""","2020-Q2""""","4955352.0""""","INR"""""
"ED1001""""","A002""""","2022-Q2""""","49883.14""""","EUR"""""
"ED1002""""","A003""""","2021-Q2""""","4450464.0""""","INR"""""
"ED1006""""","A001""""","4th Qtr 2024""""","1034680.0""""","INR"""""
"ED1005""""","A003""""","2022-Q2""""","1348728.0""""","INR"""""
"ED1002""""","A004""""","Q1-2020""""","1268118.0""""","INR"""""
"ED1009""""","A004""""","2023-Q2""""","2924089.0""""","INR"""""
"ED1004""""","A002""""","Q3-2022""""","2576243.0""""","INR"""""
"ED1003""""","A002""""","4th Qtr 2024""""","27357.18""""","USD"""""
"ED1007""""","A004""""","Q1-2020""""","4539802.0""""","INR"""""
"ED1006""""","A003""""","Q3-2019""""","3066125.0""""","INR"""""
"ED1001""""","A002""""","4th Qtr 2021""""","4288952.0""""","INR"""""
"ED1010""""","A001""""","Q1-2022""""","2750538.0""""","INR"""""
"ED1007""""","A003""""","4th Qtr 2022""""","4542127.0""""","INR"""""
"ED1005""""","A001""""","4th Qtr 2021""""","2013545.0""""","INR"""""
"ED1004""""","A001""""","Q1-2022""""","4448644.0""""","INR"""""
