time_s,stroke_mm,flow_L_min,pressure_bar
0.05,240.0,68.09402076655878,0.0
0.1,230.0,68.09402076655878,1.89
0.15,220.0,68.09402076655878,3.78
0.2,210.0,68.09402076655878,5.67
0.25,200.0,68.09402076655878,7.56
0.3,190.0,68.09402076655878,9.46
0.35,180.0,68.09402076655878,11.35
0.4,170.0,68.09402076655878,13.24
0.45,160.0,68.09402076655878,15.13
0.5,150.0,68.09402076655878,17.02
0.55,140.0,68.09402076655878,18.91
0.6,130.0,68.09402076655878,20.8
0.65,120.0,68.09402076655878,22.69
0.7,110.0,68.09402076655878,24.58
0.75,100.0,68.09402076655878,26.48
0.8,90.0,68.09402076655878,28.37
0.85,80.0,68.09402076655878,30.26
0.9,70.0,68.09402076655878,32.15
0.95,60.0,68.09402076655878,34.04
1.0,50.0,68.09402076655878,35.93
1.05,49.5,3.4047010383279392,35.93
1.1,49.0,3.4047010383279392,37.77
1.15,48.5,3.4047010383279392,39.6
1.2,48.0,3.4047010383279392,41.43
1.25,47.5,3.4047010383279392,43.27
1.3,47.0,3.4047010383279392,45.1
1.35,46.5,3.4047010383279392,46.93
1.4,46.0,3.4047010383279392,48.77
1.45,45.5,3.4047010383279392,50.6
1.5,45.0,3.4047010383279392,52.43
1.55,44.5,3.4047010383279392,54.27
1.6,44.0,3.4047010383279392,56.1
1.65,43.5,3.4047010383279392,57.93
1.7,43.0,3.4047010383279392,59.77
1.75,42.5,3.4047010383279392,61.6
1.8,42.0,3.4047010383279392,63.44
1.85,41.5,3.4047010383279392,65.27
1.9,41.0,3.4047010383279392,67.1
1.95,40.5,3.4047010383279392,68.94
2.0,40.0,3.4047010383279392,70.77
2.05,39.5,3.4047010383279392,72.6
2.1,39.0,3.4047010383279392,74.44
2.15,38.5,3.4047010383279392,76.27
2.2,38.0,3.4047010383279392,78.1
2.25,37.5,3.4047010383279392,79.94
2.3,37.0,3.4047010383279392,81.77
2.35,36.5,3.4047010383279392,83.6
2.4,36.0,3.4047010383279392,85.44
2.45,35.5,3.4047010383279392,87.27
2.5,35.0,3.4047010383279392,89.11
2.55,34.5,3.4047010383279392,90.94
2.6,34.0,3.4047010383279392,92.77
2.65,33.5,3.4047010383279392,94.61
2.7,33.0,3.4047010383279392,96.44
2.75,32.5,3.4047010383279392,98.27
2.8,32.0,3.4047010383279392,100.11
2.85,31.5,3.4047010383279392,101.94
2.9,31.0,3.4047010383279392,103.77
2.95,30.5,3.4047010383279392,105.61
3.0,30.0,3.4047010383279392,107.44
3.05,29.5,3.4047010383279392,109.27
3.1,29.0,3.4047010383279392,111.11
3.15,28.5,3.4047010383279392,112.94
3.2,28.0,3.4047010383279392,114.77
3.25,27.5,3.4047010383279392,116.61
3.3,27.0,3.4047010383279392,118.44
3.35,26.5,3.4047010383279392,120.28
3.4,26.0,3.4047010383279392,122.11
3.45,25.5,3.4047010383279392,123.94
3.5,25.0,3.4047010383279392,125.78
3.55,24.5,3.4047010383279392,127.61
3.6,24.0,3.4047010383279392,129.44
3.65,23.5,3.4047010383279392,131.28
